sample_accession	run_accession	assembly_accession	assembly_seqkit_sum	asm_pipe_filter	asm_fasta_on_osf	dataset	scientific_name	sylph_species_pre_202505	in_hq_pre_202505	sylph_species	sylph_filter	hq_filter	osf_tarball_filename	osf_tarball_url	aws_url	comments
SAMD00003823	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00004020	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00004030	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00004031	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00004065	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00004086	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00004155	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00004211	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00004645	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00004655	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00006042	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00006051	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00006053	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00006080	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00006082	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00006087	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00006259	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00006340	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00006362	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00008613	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00008625	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00008721	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00008733	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00008812	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00008813	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00008838	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00008912	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00008926	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00008943	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00008955	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00008960	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00008973	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00008982	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009021	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009051	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009096	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009117	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009236	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009302	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009315	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009346	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009355	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009357	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009367	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009459	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009486	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009799	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009942	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009951	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009972	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00009976	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00010076	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00010222	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00010713	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00010723	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00010816	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00011086	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00011136	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00011176	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00011178	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00011231	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00011359	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00011592	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00011624	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00011898	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00012129	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00012132	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00012185	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00012187	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00012206	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00012331	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00012480	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00012546	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00012690	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00012694	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00012825	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00012912	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00012956	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00013505	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00013635	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00013701	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00013881	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00015724	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00015726	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00015843	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00015865	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00015869	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00015930	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00015967	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00016339	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00016376	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00016568	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00016569	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00016596	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00016614	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00016697	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00016732	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00016759	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00016764	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00019512	DRR030673	ERZ2822366	seqkit.v0.1_DLS_k0_bb42bb3106df1cb41e4cb806a493e88e	PASS	1	661k	Rhodococcus erythropolis	Rhodococcus qingshengii	T	Rhodococcus qingshengii	PASS	PASS	atb.assembly.r0.2.batch.135.tar.xz	https://osf.io/download/66717cf86b6c8e344b04cb98/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00019512.fa.gz	None
SAMD00020941	DRR023946	ERZ2822446	seqkit.v0.1_DLS_k0_884b38a20593fd37a7aa974111b026ba	PASS	1	661k	Gluconobacter thailandicus NBRC 3255	Gluconobacter_A thailandicus	T	Gluconobacter_A thailandicus	PASS	PASS	atb.assembly.r0.2.batch.113.tar.xz	https://osf.io/download/66716a366b6c8e342a04d089/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00020941.fa.gz	None
SAMD00027180	DRR031206	ERZ25075161	seqkit.v0.1_DLS_k0_84a8d23af3fbca50712828b80be37926	PASS	1	r0.2	Streptomyces luteocolor	Streptomyces silaceus	T	Streptomyces silaceus	PASS	PASS	atb.assembly.r0.2.batch.144.tar.xz	https://osf.io/download/667180c565e1de5ec7893fee/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00027180.fa.gz	None
SAMD00029041	DRR054585,DRR054586	ERZ2882527	seqkit.v0.1_DLS_k0_e1b2e3b629be07d703c30860056d8979	PASS	1	661k	Blastochloris viridis	Blastochloris viridis	T	Blastochloris viridis	PASS	PASS	atb.assembly.r0.2.batch.99.tar.xz	https://osf.io/download/667155e877ff4c5f44e04566/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00029041.fa.gz	None
SAMD00031991	DRR048718	ERZ2884328	seqkit.v0.1_DLS_k0_3eb402cf82fd4c4ae38bd990856a9700	PASS	1	661k	Fructobacillus ficulneus	Fructobacillus ficulneus	T	Fructobacillus ficulneus	PASS	PASS	atb.assembly.r0.2.batch.112.tar.xz	https://osf.io/download/66716a780f8c8017dc3c9cdc/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00031991.fa.gz	None
SAMD00031993	DRR048720	ERZ2884332	seqkit.v0.1_DLS_k0_a6f1fb34fd0d2b26296c02526583b498	PASS	1	661k	Fructobacillus pseudoficulneus	Fructobacillus pseudoficulneus	T	Fructobacillus pseudoficulneus	PASS	PASS	atb.assembly.r0.2.batch.112.tar.xz	https://osf.io/download/66716a780f8c8017dc3c9cdc/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00031993.fa.gz	None
SAMD00035428	DRR040585	ERZ25075178	seqkit.v0.1_DLS_k0_4de616d104a96e5ff1de873afca09889	PASS	1	r0.2	Acetobacter pasteurianus subsp. pasteurianus LMG 1262 = NBRC 106471	Acetobacter pasteurianus	T	Acetobacter pasteurianus	PASS	PASS	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00035428.fa.gz	None
SAMD00035429	DRR040586	ERZ25075179	seqkit.v0.1_DLS_k0_a15b37f24a87aff08fa5217fec4f7560	PASS	1	r0.2	Acetobacter pasteurianus NBRC 3188	Acetobacter pasteurianus	T	Acetobacter pasteurianus	PASS	PASS	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00035429.fa.gz	None
SAMD00035430	DRR040587	ERZ25075180	seqkit.v0.1_DLS_k0_7fb8e635a176ef77d1feeffc0e26ddd1	PASS	1	r0.2	Acetobacter pasteurianus NBRC 3222	Acetobacter pasteurianus	T	Acetobacter pasteurianus	PASS	PASS	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00035430.fa.gz	None
SAMD00035436	DRR040593	ERZ25075186	seqkit.v0.1_DLS_k0_475ae9721b539259b0cefae59e661a88	PASS	1	r0.2	Acetobacter pasteurianus NBRC 3299	Acetobacter ascendens	T	Acetobacter ascendens	PASS	PASS	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00035436.fa.gz	None
SAMD00035590	DRR041180	ERZ25075187	seqkit.v0.1_DLS_k0_cfed8c32807d2bb8784a8ab0a025a5b7	PASS	1	r0.2	Gluconobacter oxydans NBRC 3293	Gluconobacter oxydans	T	Gluconobacter oxydans	PASS	PASS	atb.assembly.r0.2.batch.113.tar.xz	https://osf.io/download/66716a366b6c8e342a04d089/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00035590.fa.gz	None
SAMD00036545	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00038621	DRR045042	ERZ2884765	seqkit.v0.1_DLS_k0_f3c5128352b387777d7f1555f4715249	PASS	1	661k	Limosilactobacillus gorillae	Limosilactobacillus gorillae	T	Limosilactobacillus gorillae	PASS	PASS	atb.assembly.r0.2.batch.118.tar.xz	https://osf.io/download/66716ab26b6c8e342b04d34f/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00038621.fa.gz	None
SAMD00041172	DRR055406	ERZ2884768	seqkit.v0.1_DLS_k0_6ccdda5974114c6577d3318669988518	PASS	1	661k	Mycolicibacterium brisbanense	Mycobacterium brisbanense	T	unknown	SYLPH_RESULTS_FAIL	SYLPH_RESULTS_FAIL	atb.assembly.r0.2.batch.122.tar.xz	https://osf.io/download/667170ad65e1de5eb9893b76/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00041172.fa.gz	None
SAMD00041173	DRR055407	ERZ2884769	seqkit.v0.1_DLS_k0_427fdb65d6cc16349dc55a0ef66a9ef7	PASS	1	661k	Mycolicibacterium canariasense	Mycobacterium canariasense	T	unknown	SYLPH_RESULTS_FAIL	SYLPH_RESULTS_FAIL	atb.assembly.r0.2.batch.122.tar.xz	https://osf.io/download/667170ad65e1de5eb9893b76/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00041173.fa.gz	None
SAMD00041174	DRR055408	ERZ2884770	seqkit.v0.1_DLS_k0_41d959ac9c84b8c51079e118f0c6ae79	PASS	1	661k	Mycolicibacterium fortuitum subsp. acetamidolyticum	Mycobacterium fortuitum	T	unknown	SYLPH_RESULTS_FAIL	SYLPH_RESULTS_FAIL	atb.assembly.r0.2.batch.122.tar.xz	https://osf.io/download/667170ad65e1de5eb9893b76/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00041174.fa.gz	None
SAMD00041175	DRR055409	ERZ2884771	seqkit.v0.1_DLS_k0_1a8ac012c6ff0bf819285e43ce374804	PASS	1	661k	Mycolicibacterium novocastrense	Mycobacterium novocastrense	T	unknown	SYLPH_RESULTS_FAIL	SYLPH_RESULTS_FAIL	atb.assembly.r0.2.batch.123.tar.xz	https://osf.io/download/6671706e6b6c8e343604cae2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00041175.fa.gz	None
SAMD00041176	DRR055410	ERZ2884772	seqkit.v0.1_DLS_k0_0cb7fd209bda031ae26ad500c18f0f17	PASS	1	661k	Mycolicibacterium thermoresistibile	Mycobacterium thermoresistibile	T	unknown	SYLPH_RESULTS_FAIL	SYLPH_RESULTS_FAIL	atb.assembly.r0.2.batch.123.tar.xz	https://osf.io/download/6671706e6b6c8e343604cae2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00041176.fa.gz	None
SAMD00041764	DRR064044,DRR064045	ERZ2884778	seqkit.v0.1_DLS_k0_353c9728d9547bce61fec0dcab2870f0	PASS	1	661k	Gordonia amicalis NBRC 100051 = JCM 11271	unknown	F	unknown	SYLPH_RESULTS_FAIL	SYLPH_RESULTS_FAIL	atb.assembly.r0.2.batch.638.tar.xz	https://osf.io/download/kxpg2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00041764.fa.gz	None
SAMD00041777	DRR064039,DRR064040,DRR064041	ERZ2884779	seqkit.v0.1_DLS_k0_ce42f9cb7bb3bffef66bc3b99bdf02eb	PASS	1	661k	Nocardia takedensis NBRC 100417	unknown	F	unknown	SYLPH_RESULTS_FAIL	SYLPH_RESULTS_FAIL	atb.assembly.r0.2.batch.638.tar.xz	https://osf.io/download/kxpg2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00041777.fa.gz	None
SAMD00041832	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
SAMD00046518	DRR064046,DRR064047,DRR064048	ERZ2884845	seqkit.v0.1_DLS_k0_4c10014451ca7f087015fe9d931fef2a	PASS	1	661k	Mycolicibacterium chlorophenolicum JCM 7439 = NBRC 15527	Mycobacterium chlorophenolicum	T	Mycobacterium chlorophenolicum	PASS	PASS	atb.assembly.r0.2.batch.122.tar.xz	https://osf.io/download/667170ad65e1de5eb9893b76/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00046518.fa.gz	None
SAMD00046889	DRR055126,DRR055127	NA	seqkit.v0.1_DLS_k0_f637aa574262606c01bf29b10cc3b812	ENA_ASM_SUBMIT_ERR	1	661k	Halorhodospira halochloris	Halorhodospira halochloris	T	Halorhodospira halochloris	PASS	PASS	atb.assembly.r0.2.batch.114.tar.xz	https://osf.io/download/66716a00d835c439cd4ce3a3/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00046889.fa.gz	ENA assembly submission error: error_server_error_xml_retrieval
SAMD00048613	DRR056803,DRR056804	ERZ2900370	seqkit.v0.1_DLS_k0_81d765b635d4e6780cc5d2c840f835ac	PASS	1	661k	Planomonospora sphaerica	Planomonospora parontospora	T	Planomonospora parontospora	PASS	PASS	atb.assembly.r0.2.batch.129.tar.xz	https://osf.io/download/rnqba/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00048613.fa.gz	None
SAMD00051588	DRR208088	ERZ25075253	seqkit.v0.1_DLS_k0_4e03074ae28464fa7fb5a2469fa28898	PASS	1	r0.2	Helicobacter pylori	Helicobacter pylori	T	Helicobacter pylori	PASS	PASS	atb.assembly.r0.2.batch.266.tar.xz	https://osf.io/download/6673efa32026e9025a23db44/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00051588.fa.gz	None
SAMD00054186	DRR064132	ERZ2885173	seqkit.v0.1_DLS_k0_486d1f2ebcd8460e48319eb71f46751b	PASS	1	661k	Lentilactobacillus parakefiri	Lentilactobacillus parakefiri	T	unknown	SYLPH_RESULTS_FAIL	SYLPH_RESULTS_FAIL	atb.assembly.r0.2.batch.117.tar.xz	https://osf.io/download/66716ab865e1de5e9e893f74/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00054186.fa.gz	None
SAMD00058712	DRR068502,DRR068503	ERZ2885338	seqkit.v0.1_DLS_k0_a3d2f1012bef444023d92ca21bacd4f0	PASS	1	661k	Alcaligenes faecalis subsp. faecalis NBRC 13111	Alcaligenes faecalis	T	Alcaligenes faecalis	PASS	PASS	atb.assembly.r0.2.batch.95.tar.xz	https://osf.io/download/667155b86b6c8e341c04cdf0/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00058712.fa.gz	None
SAMD00059584	NA	NA	NA	NOT_PROCESSED	0	not_processed	unknown	NA	NA	NA	NA	NA	NA	NA	NA	None
